date,ubo,search_interest_weight,rescaled_rsv,normalized_rescaled_rsv
2020-11-29,100,0.7932405566600397,79.32405566600397,36.554864362213806
2020-11-30,68,0.7932405566600397,53.9403578528827,24.857307766305386
2020-12-01,55,0.7932405566600397,43.62823061630218,20.105175399217593
2020-12-02,76,0.7932405566600397,60.28628230616302,27.781696915282495
2020-12-03,55,0.7932405566600397,43.62823061630218,20.105175399217593
2020-12-04,78,0.7932405566600397,61.87276341948309,28.512794202526763
2020-12-05,71,0.7932405566600397,56.32007952286282,25.953953697171805
2020-12-06,59,1.0632911392405062,62.73417721518987,28.909759085340948
2020-12-07,59,1.0632911392405062,62.73417721518987,28.909759085340948
2020-12-08,78,1.0632911392405062,82.93670886075948,38.21968150265413
2020-12-09,65,1.0632911392405062,69.1139240506329,31.849734585545114
2020-12-10,0,1.0632911392405062,0.0,0.0
2020-12-11,0,1.0632911392405062,0.0,0.0
2020-12-12,55,1.0632911392405062,58.48101265822784,26.94977541853817
2020-12-13,82,1.0317919075144508,84.60693641618496,38.98937162036173
2020-12-14,0,1.0317919075144508,0.0,0.0
2020-12-15,61,1.0317919075144508,62.9393063583815,29.004288644415432
2020-12-16,89,1.0317919075144508,91.82947976878613,42.31773261234383
2020-12-17,62,1.0317919075144508,63.971098265895954,29.479768786127163
2020-12-18,52,1.0317919075144508,53.653179190751445,24.724967369009878
2020-12-19,0,1.0317919075144508,0.0,0.0
2020-12-20,0,1.9634146341463417,0.0,0.0
2020-12-21,0,1.9634146341463417,0.0,0.0
2020-12-22,49,1.9634146341463417,96.20731707317074,44.335169158143195
2020-12-23,0,1.9634146341463417,0.0,0.0
2020-12-24,67,1.9634146341463417,131.5487804878049,60.62155782848151
2020-12-25,0,1.9634146341463417,0.0,0.0
2020-12-26,48,1.9634146341463417,94.2439024390244,43.43036978756884
2020-12-27,92,1.1548223350253808,106.24365482233503,48.96020959554609
2020-12-28,64,1.1548223350253808,73.90862944162437,34.05927624037989
2020-12-29,100,1.1548223350253808,115.48223350253808,53.21761912559357
2020-12-30,64,1.1548223350253808,73.90862944162437,34.05927624037989
2020-12-31,0,1.1548223350253808,0.0,0.0
2021-01-01,0,1.1548223350253808,0.0,0.0
2021-01-02,74,1.1548223350253808,85.45685279187818,39.38103815293925
2021-01-03,0,1.1461988304093569,0.0,0.0
2021-01-04,52,1.1461988304093569,59.60233918128656,27.466515751744954
2021-01-05,55,1.1461988304093569,63.04093567251463,29.051122429730242
2021-01-06,55,1.1461988304093569,63.04093567251463,29.051122429730242
2021-01-07,56,1.1461988304093569,64.18713450292398,29.57932465572533
2021-01-08,50,1.1461988304093569,57.309941520467845,26.410111299754764
2021-01-09,74,1.1461988304093569,84.8187134502924,39.086964723637045
2021-01-10,96,1.1351351351351353,108.972972972973,50.21795989537925
2021-01-11,61,1.1351351351351353,69.24324324324326,31.909328683522233
2021-01-12,60,1.1351351351351353,68.10810810810811,31.386224934612027
2021-01-13,55,1.1351351351351353,62.43243243243244,28.77070619006103
2021-01-14,0,1.1351351351351353,0.0,0.0
2021-01-15,40,1.1351351351351353,45.40540540540541,20.92414995640802
2021-01-16,58,1.1351351351351353,65.83783783783785,30.340017436791634
2021-01-17,66,0.9919028340080972,65.46558704453442,30.168473292412166
2021-01-18,59,0.9919028340080972,58.522267206477736,26.96878673109573
2021-01-19,62,0.9919028340080972,61.497975708502025,28.340080971659916
2021-01-20,96,0.9919028340080972,95.22267206477733,43.88141569805406
2021-01-21,76,0.9919028340080972,75.38461538461539,34.739454094292796
2021-01-22,87,0.9919028340080972,86.29554655870446,39.767532976361494
2021-01-23,48,0.9919028340080972,47.611336032388664,21.94070784902703
2021-01-24,0,0.9160493827160494,0.0,0.0
2021-01-25,46,0.9160493827160494,42.138271604938275,19.418558343289526
2021-01-26,73,0.9160493827160494,66.8716049382716,30.81640780565511
2021-01-27,62,0.9160493827160494,56.79506172839506,26.172839506172835
2021-01-28,67,0.9160493827160494,61.37530864197531,28.283552369573872
2021-01-29,84,0.9160493827160494,76.94814814814815,35.45997610513739
2021-01-30,73,0.9160493827160494,66.8716049382716,30.81640780565511
2021-01-31,61,0.9310344827586208,56.793103448275865,26.171937072938185
2021-02-01,47,0.9310344827586208,43.758620689655174,20.165262990624502
2021-02-02,72,0.9310344827586208,67.0344827586207,30.891466709041794
2021-02-03,62,0.9310344827586208,57.72413793103449,26.60098522167488
2021-02-04,64,0.9310344827586208,59.58620689655173,27.45908151914826
2021-02-05,51,0.9310344827586208,47.48275862068966,21.88145558557127
2021-02-06,49,0.9310344827586208,45.62068965517242,21.023359288097886
2021-02-07,100,0.9443254817987152,94.43254817987152,43.51730330869655
2021-02-08,43,0.9443254817987152,40.605995717344754,18.712440422739515
2021-02-09,58,0.9443254817987152,54.770877944325484,25.240035919043997
2021-02-10,59,0.9443254817987152,55.7152034261242,25.675208952130962
2021-02-11,64,0.9443254817987152,60.436830835117775,27.851074117565787
2021-02-12,88,0.9443254817987152,83.10064239828694,38.29522691165296
2021-02-13,55,0.9443254817987152,51.937901498929335,23.9345168197831
2021-02-14,52,1.084507042253521,56.39436619718309,25.988187187641977
2021-02-15,0,1.084507042253521,0.0,0.0
2021-02-16,64,1.084507042253521,69.40845070422534,31.985461154020893
2021-02-17,56,1.084507042253521,60.73239436619718,27.98727850976828
2021-02-18,61,1.084507042253521,66.15492957746478,30.486142662426165
2021-02-19,46,1.084507042253521,49.88732394366197,22.989550204452517
2021-02-20,76,1.084507042253521,82.4225352112676,37.982735120399816
2021-02-21,66,1.0167597765363128,67.10614525139664,30.92449089926112
2021-02-22,38,1.0167597765363128,38.63687150837988,17.805009911695795
2021-02-23,0,1.0167597765363128,0.0,0.0
2021-02-24,50,1.0167597765363128,50.83798882681564,23.427644620652366
2021-02-25,100,1.0167597765363128,101.67597765363128,46.85528924130473
2021-02-26,59,1.0167597765363128,59.988826815642454,27.644620652369788
2021-02-27,45,1.0167597765363128,45.754189944134076,21.08488015858713
2021-02-28,65,1.319148936170213,85.74468085106383,39.513677811550146
2021-03-01,49,1.319148936170213,64.63829787234043,29.78723404255319
2021-03-02,49,1.319148936170213,64.63829787234043,29.78723404255319
2021-03-03,56,1.319148936170213,73.87234042553192,34.042553191489354
2021-03-04,72,1.319148936170213,94.97872340425533,43.76899696048632
2021-03-05,38,1.319148936170213,50.12765957446809,23.10030395136778
2021-03-06,0,1.319148936170213,0.0,0.0
2021-03-07,56,1.065909090909091,59.69090909090909,27.507331378299117
2021-03-08,58,1.065909090909091,61.82272727272727,28.489736070381227
2021-03-09,77,1.065909090909091,82.075,37.82258064516129
2021-03-10,57,1.065909090909091,60.75681818181818,27.998533724340174
2021-03-11,53,1.065909090909091,56.49318181818182,26.03372434017595
2021-03-12,61,1.065909090909091,65.02045454545454,29.963343108504393
2021-03-13,78,1.065909090909091,83.14090909090909,38.31378299120234
2021-03-14,61,0.95703125,58.37890625,26.902721774193544
2021-03-15,70,0.95703125,66.9921875,30.87197580645161
2021-03-16,69,0.95703125,66.03515625,30.430947580645157
